Hisse,Son Fiyat (TL),Değişim (%),Değişim (TL),Hacim (TL),Hacim (Adet),
GOODY,20,54,-2,00,-0,42,36.498.930,1.754.412,
ALKIM,28,52,-0,97,-0,28,31.150.680,1.082.085,
CELHA,29,50,1,17,0,34,5.257.995,178.607,
RAYSG,22,66,5,99,1,28,29.904.806,1.327.621,
GLRYH,8,61,-3,37,-0,30,15.289.413,1.739.009,
BLCYT,12,29,4,24,0,50,25.004.030,2.087.023,
BTCIM,40,04,-0,89,-0,36,9.626.931,240.376,
KOZAL,22,18,-1,86,-0,42,1.693.227.311,74.642.864,
DOCO,3.574,10,5,03,171,30,48.901.848,13.776,
YAYLA,4,95,-0,80,-0,04,5.128.579,1.027.693,
TTKOM,19,49,1,19,0,23,1.553.696.026,79.484.570,
ULAS,16,00,-2,68,-0,44,5.060.886,310.907,
KUYAS,35,30,2,14,0,74,117.573.592,3.340.834,
DZGYO,2,96,0,00,0,00,10.810.068,3.622.313,
PKENT,114,60,0,17,0,20,10.290.638,89.362,
UMPAS,3,17,-0,31,-0,01,323.245,101.918,
VESTL,48,12,-0,95,-0,46,244.818.103,5.012.668,
TRGYO,16,59,-0,24,-0,04,22.418.741,1.351.285,
TCELL,35,72,-0,11,-0,04,1.539.312.621,42.337.518,
GEDIK,9,03,0,11,0,01,10.906.149,1.199.671,
BJKAS,18,95,1,34,0,25,193.076.840,10.350.726,
ESCOM,30,90,0,65,0,20,28.120.802,899.869,
MAALT,390,00,-1,39,-5,50,41.427.302,104.813,
DITAS,27,74,1,24,0,34,2.971.610,106.086,
PETKM,14,51,-0,89,-0,13,1.057.309.926,71.743.806,
BURCE,142,30,-9,99,-15,80,18.109.421,126.381,
SISE,42,24,-0,05,-0,02,2.135.722.313,50.090.585,
OSMEN,101,50,-1,84,-1,90,82.555.347,774.895,
ISBIR,73,00,1,96,1,40,676.581,9.402,
FRIGO,5,67,-0,53,-0,03,5.289.616,931.204,
CEMTS,8,66,0,12,0,01,58.938.298,6.748.362,
GOZDE,13,11,0,92,0,12,56.353.809,4.265.048,
YUNSA,112,70,2,83,3,10,99.226.471,878.881,
VKFYO,18,92,-9,99,-2,10,32.486.838,1.522.018,
CMENT,59,05,0,00,0,00,441.625,7.525,
MGROS,201,10,1,06,2,10,673.162.697,3.325.899,
EUKYO,5,10,-5,20,-0,28,4.682.296,896.387,
LKMNH,21,76,-0,64,-0,14,8.851.764,404.211,
AYES,18,18,0,50,0,09,1.086.401,60.315,
ENKAI,27,98,-1,62,-0,46,916.401.232,32.251.480,
EDIP,7,68,9,87,0,69,40.951.940,5.476.626,
ISMEN,56,95,0,98,0,55,62.826.343,1.110.325,
ADEL,177,90,4,59,7,80,47.422.858,266.807,
NUGYO,5,49,1,10,0,06,19.704.770,3.581.726,
ISATR,308.000,00,0,00,0,00,0,0,
TSKB,4,38,-1,57,-0,07,279.400.657,63.133.800,
HALKB,12,88,-1,30,-0,17,812.733.442,62.085.256,
AKSEN,31,78,-2,63,-0,86,402.108.924,12.332.566,
NIBAS,14,15,-0,21,-0,03,22.364.516,1.554.470,
VANGD,7,02,-1,40,-0,10,4.064.283,578.195,
SODSN,31,00,-2,82,-0,90,495.332,15.897,
MERKO,5,44,-0,18,-0,01,18.116.845,3.323.865,
TKNSA,18,23,-0,16,-0,03,44.335.482,2.419.573,
DARDL,4,12,-0,24,-0,01,41.873.884,10.033.385,
YKBNK,12,80,-1,46,-0,19,4.500.260.240,347.123.615,
ERSU,6,59,0,76,0,05,10.729.508,1.625.037,
UZERB,217,00,-2,25,-5,00,1.217.106,5.543,
TMSN,57,15,-1,97,-1,15,44.557.345,771.428,
ECZYT,131,00,-3,82,-5,20,68.829.683,510.241,
COSMO,86,30,8,69,6,90,13.167.427,156.620,
ULUSE,126,90,0,32,0,40,17.587.791,137.659,
ARENA,16,40,-2,09,-0,35,9.106.374,553.410,
ALGYO,27,70,-1,49,-0,42,24.869.685,885.689,
SAMAT,14,59,-1,29,-0,19,20.140.447,1.372.491,
DOAS,147,60,-0,07,-0,10,209.127.446,1.411.721,
RTALB,8,40,-2,33,-0,20,13.092.371,1.534.425,
KAPLM,89,10,10,00,8,10,38.318.544,444.343,
TURGG,205,90,0,68,1,40,6.858.293,33.077,
IDGYO,3,65,-0,54,-0,02,1.533.289,424.285,
OSTIM,4,23,9,87,0,38,193.590.525,46.918.482,
BRMEN,1,74,3,57,0,06,170.297,100.038,
KERVN,0,83,2,47,0,02,1.177.127,1.418.938,
BAKAB,43,08,2,38,1,00,4.120.176,95.135,
SELGD,6,44,-1,23,-0,08,848.738,131.055,
RHEAG,6,42,8,08,0,48,12.685.310,2.037.168,
ZOREN,2,94,-2,97,-0,09,280.748.511,94.198.885,
BRISA,53,05,2,02,1,05,21.866.136,418.988,
BRKSN,9,40,-0,11,-0,01,6.243.572,668.001,
VAKBN,10,19,0,20,0,02,884.997.183,85.778.182,
DOHOL,9,20,-3,66,-0,35,555.100.869,58.523.617,
SNKRN,22,48,-0,35,-0,08,765.565,33.860,
SKBNK,2,57,-1,53,-0,04,265.527.762,102.245.313,
DGGYO,24,04,-1,15,-0,28,8.477.517,347.846,
EKIZ,16,74,6,29,0,99,600.363,36.490,
AKBNK,18,89,-1,77,-0,34,4.539.779.301,236.543.483,
AFYON,8,85,2,31,0,20,128.815.206,14.506.062,
ISGYO,9,56,-0,42,-0,04,95.739.044,9.955.759,
GSRAY,7,77,-0,64,-0,05,166.608.643,21.331.780,
ARSAN,7,06,-3,02,-0,22,18.666.532,2.577.053,
PINSU,7,35,1,66,0,12,6.860.874,943.438,
BALAT,14,08,0,50,0,07,513.427,36.465,
KARSN,9,20,-0,43,-0,04,188.291.718,20.424.187,
HURGZ,3,99,1,27,0,05,24.463.965,6.066.220,
DGATE,18,20,-0,27,-0,05,10.147.011,552.870,
CLEBI,544,00,-0,46,-2,50,31.028.525,56.407,
GARAN,30,08,-1,89,-0,58,1.966.306.217,64.139.443,
GEREL,21,40,-0,74,-0,16,81.899.676,3.777.641,
KONYA,3.179,50,0,41,13,10,129.698.653,39.870,
EUYO,5,83,-2,83,-0,17,2.894.484,492.797,
SARKY,32,40,3,58,1,12,14.478.225,460.433,
DESPC,21,70,0,00,0,00,11.175.691,501.588,
OYLUM,4,10,-0,73,-0,03,16.563.295,3.983.725,
KERVT,8,61,-0,23,-0,02,27.994.366,3.212.750,
AYGAZ,81,05,0,37,0,30,68.929.750,855.636,
MERIT,37,78,-1,77,-0,68,10.943.607,286.032,
TTRAK,356,90,-2,09,-7,60,119.878.421,329.792,
FENER,58,50,-1,52,-0,90,295.068.344,4.956.510,
YAPRK,73,20,9,99,6,65,132.231.286,2.051.341,
KOZAA,46,62,2,24,1,02,1.124.538.943,23.972.699,
ATEKS,79,05,-1,19,-0,95,7.161.121,89.069,
ISKUR,770.000,00,0,00,0,00,0,0,
FLAP,6,19,4,21,0,25,35.208.698,5.747.189,
VAKFN,5,02,-3,83,-0,20,154.147.960,30.011.730,
TGSAS,17,15,4,19,0,69,13.154.702,768.909,
TKFEN,35,78,-2,40,-0,88,258.286.127,7.121.037,
GOLTS,143,60,-0,21,-0,30,60.353.846,413.745,
NETAS,26,66,-2,06,-0,56,18.464.110,682.113,
MNDRS,7,16,4,99,0,34,85.799.259,12.089.658,
MIPAZ,9,88,-0,10,-0,01,13.638.785,1.370.670,
MAKTK,3,99,-0,75,-0,03,13.820.253,3.437.515,
BIMAS,176,90,5,17,8,70,2.077.397.991,11.904.578,
HATEK,7,65,-1,54,-0,12,11.563.596,1.487.054,
INDES,19,00,1,33,0,25,18.221.735,971.187,
BRSAN,249,90,-1,96,-5,00,575.382.789,2.331.622,
MZHLD,7,25,-0,28,-0,02,6.319.892,869.299,
ANSGR,16,42,1,36,0,22,6.226.167,382.223,
RODRG,41,42,-9,17,-4,18,82.950.509,1.895.968,
ATAGY,5,90,8,66,0,47,6.536.096,1.120.808,
LIDFA,5,94,5,32,0,30,86.785.602,14.772.980,
FROTO,674,20,-1,58,-10,80,804.000.668,1.185.841,
AKSGY,5,51,7,62,0,39,23.337.238,4.345.785,
TSGYO,5,15,1,38,0,07,13.205.881,2.563.438,
EUHOL,1,92,-3,03,-0,06,36.288.220,18.688.248,
LINK,49,58,2,86,1,38,14.233.332,296.035,
TBORG,30,60,2,27,0,68,1.359.525,44.860,
TUCLK,30,20,1,68,0,50,16.680.261,544.868,
KRSTL,6,94,-1,42,-0,10,34.473.487,4.941.698,
METUR,5,68,-8,97,-0,56,121.103.113,20.077.509,
TRCAS,13,25,-0,38,-0,05,9.500.368,708.393,
SNPAM,16,09,0,56,0,09,1.840.201,114.738,
AYCES,122,70,-7,47,-9,90,185.270.985,1.372.316,
OZGYO,3,79,0,80,0,03,8.204.145,2.161.068,
DOBUR,37,80,1,07,0,40,5.454.182,145.004,
SANEL,16,46,0,06,0,01,9.046.052,547.880,
EGPRO,99,50,-3,96,-4,10,76.269.383,759.738,
PENGD,5,60,-0,53,-0,03,18.748.438,3.317.607,
KARTN,66,00,-1,12,-0,75,12.403.534,185.401,
CEMAS,1,64,-0,61,-0,01,43.430.889,26.302.456,
AGYO,4,37,-0,46,-0,02,6.680.799,1.518.424,
ASUZU,154,10,0,85,1,30,41.652.438,269.201,
TOASO,224,00,-0,22,-0,50,914.742.419,4.052.434,
OZRDN,18,01,-1,80,-0,33,15.295.530,849.180,
YESIL,4,34,1,40,0,06,330.613.998,72.934.545,
TUPRS,73,05,-1,81,-1,35,1.825.582.565,24.600.226,
AKMGY,77,60,-1,21,-0,95,4.535.567,57.723,
KORDS,79,20,-0,38,-0,30,160.396.036,2.001.714,
PETUN,51,80,2,68,1,35,9.466.107,183.964,
KAREL,16,50,6,59,1,02,83.679.114,5.255.570,
SILVR,13,24,1,15,0,15,12.989.553,971.638,
YBTAS,56.800,00,6,57,3.500,10,907.345,16,
KRONT,19,86,-1,19,-0,24,9.595.851,483.423,
DEVA,44,94,-0,18,-0,08,23.646.718,525.641,
ODAS,6,52,-0,76,-0,05,288.794.247,44.024.603,
POLTK,2.639,80,-0,62,-16,50,3.577.862,1.351,
BASCM,4,57,3,39,0,15,493.660,108.923,
FMIZP,141,80,3,05,4,20,19.988.441,141.395,
DURDO,32,90,2,49,0,80,5.922.577,181.945,
PRZMA,28,96,4,17,1,16,16.447.101,577.829,
LOGO,60,15,-0,17,-0,10,69.846.264,1.139.909,
TMPOL,27,68,1,02,0,28,10.604.735,384.762,
DENGE,1,98,-0,50,-0,01,11.284.079,5.675.206,
ERBOS,144,90,0,63,0,90,97.661.562,652.418,
AKCNS,85,50,1,18,1,00,150.402.776,1.765.140,
KLGYO,2,92,1,39,0,04,337.954.002,113.318.507,
KRDMD,21,22,-1,85,-0,40,1.348.232.271,62.537.139,
GLYHO,8,66,1,41,0,12,156.557.704,17.918.757,
SAYAS,26,56,0,38,0,10,13.226.448,495.826,
ETILR,13,90,-3,07,-0,44,13.953.547,990.986,
CRFSA,57,50,3,23,1,80,41.291.142,721.594,
HDFGS,2,48,-0,40,-0,01,11.296.858,4.536.935,
SEYKM,7,69,0,00,0,00,4.577.896,593.631,
ALBRK,2,83,0,35,0,01,138.435.191,48.915.654,
ISYAT,4,35,0,00,0,00,4.371.715,1.006.175,
BRKO,4,14,7,53,0,29,2.795.726,683.608,
BSOKE,3,38,0,00,0,00,16.535.725,4.843.615,
ISGSY,12,51,-2,11,-0,27,11.785.793,927.846,
MARTI,3,09,-2,22,-0,07,52.846.323,16.974.486,
ECILC,33,46,2,26,0,74,121.143.819,3.637.429,
YGGYO,34,32,-1,94,-0,68,2.079.226,60.238,
GSDHO,3,01,-1,31,-0,04,80.280.651,26.336.658,
ALKA,24,02,-2,36,-0,58,18.604.601,759.095,
GLBMD,12,62,1,86,0,23,5.513.262,450.046,
PARSN,90,70,-0,82,-0,75,177.214.052,1.958.033,
EGSER,5,86,-0,85,-0,05,16.665.167,2.819.289,
YGYO,1,81,1,12,0,02,41.405.717,22.382.264,
IHGZT,0,99,0,00,0,00,4.007.874,4.034.349,
AVOD,3,16,-3,07,-0,10,120.342.926,37.337.567,
ORMA,57,50,1,50,0,85,429.988,7.511,
PRKAB,27,36,9,97,2,48,127.669.208,4.740.854,
ANHYT,17,55,-0,23,-0,04,12.567.669,712.785,
ITTFH,3,90,3,72,0,14,62.525.759,16.063.149,
DYOBY,22,76,2,99,0,66,25.422.706,1.125.776,
ATLAS,3,30,0,92,0,03,6.636.069,1.989.014,
ALCAR,464,00,0,22,1,00,33.386.388,70.699,
YATAS,29,40,-0,68,-0,20,97.585.514,3.268.340,
MEGAP,4,13,3,77,0,15,68.908.357,17.143.502,
VERUS,145,00,-0,14,-0,20,24.274.023,168.790,
DESA,57,65,-3,11,-1,85,37.038.502,635.487,
INTEM,100,00,-5,57,-5,90,74.955.407,723.142,
TSPOR,4,11,-1,44,-0,06,43.337.490,10.410.536,
EPLAS,34,64,-6,53,-2,42,65.715.350,1.851.571,
ASELS,52,55,-0,66,-0,35,2.051.598.685,38.372.426,
BEYAZ,13,01,0,77,0,10,21.797.881,1.659.189,
CIMSA,117,40,3,89,4,40,469.906.204,4.010.745,
ANELE,4,92,1,44,0,07,40.114.791,8.170.457,
RYGYO,13,75,-4,58,-0,66,41.836.050,2.998.723,
ISBTR,53.891,10,-10,00,-5.987,90,1.148.780,21,
RYSAS,44,42,-6,80,-3,24,92.291.453,2.063.164,
ADESE,1,48,1,37,0,02,97.821.804,66.272.874,
OZKGY,11,70,-1,52,-0,18,30.842.954,2.611.692,
ORGE,25,42,-1,93,-0,50,22.109.345,858.247,
PNSUT,51,50,1,88,0,95,9.849.658,191.457,
SNGYO,2,51,-1,18,-0,03,62.365.538,24.579.967,
AYEN,28,88,-3,35,-1,00,78.914.237,2.712.385,
SKTAS,2,79,6,49,0,17,35.675.287,13.022.448,
KCHOL,99,40,-1,58,-1,60,2.261.320.083,22.481.317,
IHLAS,0,84,2,44,0,02,31.459.109,37.479.158,
EMKEL,7,55,3,57,0,26,55.539.138,7.405.464,
ROYAL,6,80,0,00,0,00,0,0,
TATGD,27,08,-1,17,-0,32,42.247.104,1.534.751,
MRGYO,6,04,2,03,0,12,21.078.696,3.485.053,
OYAYO,11,20,0,45,0,05,13.742.134,1.234.795,
AEFES,64,80,-1,82,-1,20,191.844.699,2.914.633,
MMCAS,4,37,-3,74,-0,17,573.326,131.125,
SEKFK,8,79,2,21,0,19,55.584.264,6.220.577,
TUKAS,13,20,-2,94,-0,40,49.743.070,3.686.946,
TAVHL,86,30,0,58,0,50,508.365.145,5.860.845,
SASA,55,50,-1,42,-0,80,2.458.420.562,44.226.369,
PGSUS,589,30,0,39,2,30,1.102.178.596,1.860.200,
IZMDC,5,72,2,33,0,13,242.320.051,41.807.117,
DMSAS,9,24,1,87,0,17,11.496.234,1.277.742,
AKENR,4,31,-2,27,-0,10,23.101.866,5.329.598,
IPEKE,27,56,-0,51,-0,14,130.298.915,4.671.108,
KENT,176,60,0,11,0,20,566.543,3.210,
KLMSN,19,39,1,41,0,27,36.033.643,1.844.096,
AVTUR,3,55,-3,53,-0,13,4.080.890,1.156.244,
SRVGY,227,00,2,71,6,00,47.468.496,213.078,
DOGUB,12,25,0,49,0,06,41.323.075,3.321.846,
TEKTU,2,81,0,00,0,00,19.405.549,6.867.183,
DAGI,5,99,0,00,0,00,4.531.880,755.401,
VKGYO,2,44,1,24,0,03,58.981.800,24.311.398,
ULKER,33,78,1,44,0,48,225.812.399,6.682.709,
BURVA,63,80,-9,95,-7,05,4.158.612,65.182,
KRTEK,18,08,0,50,0,09,4.645.509,255.736,
SEKUR,18,91,0,59,0,11,4.978.945,263.821,
USAK,3,33,-0,30,-0,01,17.452.740,5.195.205,
EGEEN,4.958,40,4,72,223,70,182.063.587,36.820,
